Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
I,0.408,0.278,0.114,0.33,0.188,0.045,0.084,6
I,0.32,0.243,0.08,0.164,0.069,0.033,0.056,6
F,0.712,0.542,0.203,1.696,0.575,0.315,0.611,18
I,0.517,0.408,0.12,0.645,0.258,0.182,0.162,13
I,0.291,0.217,0.058,0.095,0.03,0.024,0.03,6
I,0.534,0.398,0.107,0.511,0.248,0.095,0.156,8
F,0.619,0.539,0.175,1.293,0.502,0.343,0.374,11
F,0.569,0.473,0.244,1.386,0.483,0.216,0.531,13
M,0.54,0.45,0.152,0.869,0.345,0.214,0.277,9
I,0.414,0.308,0.116,0.248,0.1,0.052,0.083,10
I,0.64,0.506,0.177,1.28,0.557,0.327,0.4,9
F,0.612,0.496,0.16,1.207,0.475,0.233,0.365,13
M,0.498,0.408,0.108,0.655,0.312,0.163,0.183,9
I,0.31,0.228,0.074,0.149,0.068,0.037,0.035,6
I,0.471,0.361,0.108,0.491,0.233,0.103,0.118,7
M,0.565,0.455,0.181,1.053,0.383,0.192,0.4,16
M,0.614,0.517,0.157,1.272,0.474,0.288,0.354,15
I,0.313,0.225,0.079,0.129,0.053,0.028,0.04,4
I,0.66,0.487,0.15,1.078,0.419,0.241,0.335,11
M,0.496,0.393,0.143,0.632,0.265,0.129,0.224,11
M,0.545,0.395,0.139,0.8,0.331,0.161,0.246,8
M,0.515,0.4,0.115,0.479,0.218,0.1,0.149,10
M,0.672,0.549,0.162,1.549,0.648,0.385,0.463,11
I,0.363,0.249,0.09,0.184,0.069,0.035,0.055,7
M,0.527,0.403,0.129,0.741,0.353,0.161,0.181,8
I,0.373,0.267,0.085,0.23,0.093,0.053,0.069,7
F,0.608,0.515,0.184,1.341,0.436,0.227,0.462,13
I,0.449,0.342,0.106,0.383,0.158,0.095,0.113,7
I,0.367,0.29,0.08,0.259,0.127,0.051,0.062,7
F,0.471,0.333,0.148,0.536,0.178,0.124,0.179,11
M,0.48,0.364,0.152,1.063,0.43,0.222,0.303,8
F,0.595,0.437,0.152,0.978,0.439,0.216,0.295,13
M,0.636,0.451,0.136,1.008,0.506,0.183,0.256,10
F,0.615,0.482,0.148,0.978,0.47,0.195,0.264,9
F,0.707,0.538,0.202,1.61,0.666,0.386,0.442,12
I,0.378,0.31,0.088,0.259,0.113,0.049,0.079,6
F,0.475,0.341,0.129,0.499,0.228,0.119,0.168,9
F,0.544,0.423,0.152,0.881,0.456,0.152,0.27,9
I,0.517,0.401,0.144,0.784,0.409,0.145,0.177,8
I,0.334,0.232,0.082,0.147,0.057,0.037,0.046,7
I,0.374,0.282,0.094,0.211,0.083,0.035,0.081,8
I,0.46,0.409,0.153,0.535,0.155,0.076,0.196,15
F,0.477,0.357,0.124,0.574,0.286,0.142,0.135,8
M,0.604,0.498,0.18,1.054,0.462,0.252,0.316,10
F,0.478,0.383,0.133,0.483,0.197,0.11,0.15,12
I,0.364,0.278,0.089,0.226,0.108,0.051,0.061,7
I,0.359,0.273,0.105,0.215,0.069,0.058,0.073,9
I,0.345,0.272,0.099,0.215,0.086,0.042,0.088,7
I,0.318,0.247,0.089,0.141,0.06,0.031,0.047,7
I,0.565,0.419,0.155,0.746,0.354,0.178,0.242,9
F,0.44,0.369,0.12,0.435,0.163,0.081,0.178,14
I,0.612,0.485,0.179,1.162,0.513,0.277,0.319,13
M,0.615,0.485,0.157,1.002,0.543,0.191,0.169,8
M,0.363,0.267,0.089,0.206,0.07,0.054,0.063,10
M,0.635,0.494,0.157,1.121,0.496,0.258,0.345,9
I,0.414,0.321,0.115,0.311,0.125,0.086,0.098,9
I,0.567,0.467,0.139,0.774,0.314,0.15,0.268,9
I,0.454,0.375,0.105,0.458,0.18,0.098,0.153,9
M,0.511,0.401,0.137,0.696,0.272,0.147,0.231,10
I,0.335,0.232,0.078,0.192,0.091,0.041,0.044,7
M,0.537,0.434,0.158,0.752,0.36,0.155,0.229,10
F,0.751,0.61,0.219,2.4,1.24,0.5,0.665,11
I,0.284,0.204,0.068,0.11,0.049,0.021,0.03,5
M,0.555,0.413,0.161,1.371,0.635,0.303,0.358,10
M,0.504,0.384,0.136,0.635,0.229,0.124,0.235,14
I,0.283,0.201,0.053,0.116,0.044,0.028,0.035,7
M,0.608,0.507,0.154,1.313,0.428,0.187,0.396,13
M,0.649,0.498,0.168,1.317,0.583,0.275,0.359,8
F,0.642,0.498,0.144,1.085,0.376,0.275,0.357,8
M,0.56,0.485,0.158,0.888,0.386,0.161,0.261,10
I,0.467,0.394,0.136,0.696,0.214,0.133,0.192,18
M,0.577,0.453,0.154,1.079,0.453,0.216,0.287,10
F,0.636,0.549,0.208,1.569,0.507,0.259,0.674,16
F,0.73,0.597,0.236,2.615,1.28,0.498,0.634,15
F,0.671,0.521,0.178,1.495,0.629,0.385,0.444,13
M,0.597,0.51,0.167,1.837,0.657,0.337,0.702,17
I,0.492,0.365,0.136,0.531,0.272,0.114,0.159,8
I,0.42,0.33,0.097,0.404,0.171,0.079,0.122,7
I,0.353,0.254,0.079,0.189,0.09,0.025,0.054,5
I,0.294,0.23,0.071,0.105,0.036,0.024,0.033,8
I,0.305,0.239,0.072,0.169,0.063,0.039,0.044,6
I,0.342,0.198,0.097,0.152,0.08,0.032,0.043,5
M,0.593,0.446,0.149,0.851,0.439,0.155,0.243,9
M,0.547,0.438,0.232,0.812,0.328,0.153,0.313,12
F,0.476,0.366,0.118,0.59,0.271,0.112,0.135,7
I,0.576,0.446,0.129,0.783,0.373,0.184,0.244,9
M,0.66,0.498,0.182,1.469,0.61,0.367,0.367,10
I,0.51,0.363,0.125,0.505,0.213,0.109,0.153,8
F,0.599,0.485,0.149,1.105,0.569,0.173,0.266,8
I,0.488,0.361,0.105,0.496,0.226,0.094,0.146,9
F,0.603,0.45,0.173,0.888,0.355,0.17,0.233,12
F,0.433,0.352,0.118,0.409,0.191,0.112,0.118,8
I,0.497,0.412,0.138,0.67,0.332,0.123,0.199,10
I,0.572,0.434,0.173,0.91,0.379,0.192,0.258,11
F,0.67,0.503,0.157,1.164,0.443,0.292,0.365,12
I,0.457,0.364,0.105,0.428,0.203,0.086,0.11,9
M,0.49,0.397,0.123,0.651,0.323,0.139,0.161,9
M,0.488,0.347,0.138,0.504,0.161,0.117,0.158,10
I,0.452,0.336,0.109,0.4,0.163,0.1,0.115,7
I,0.388,0.271,0.094,0.255,0.121,0.055,0.08,7
F,0.675,0.555,0.163,1.471,0.563,0.398,0.448,12
I,0.413,0.313,0.082,0.303,0.131,0.059,0.091,7
M,0.512,0.391,0.135,0.654,0.325,0.131,0.12,8
I,0.378,0.248,0.104,0.404,0.165,0.095,0.108,6
F,0.479,0.344,0.126,0.614,0.308,0.109,0.129,6
M,0.597,0.504,0.133,0.972,0.405,0.229,0.291,11
I,0.48,0.377,0.124,0.449,0.178,0.104,0.148,12
M,0.577,0.476,0.155,0.976,0.473,0.221,0.26,9
M,0.624,0.501,0.178,1.35,0.557,0.326,0.393,8
M,0.445,0.388,0.136,0.522,0.191,0.105,0.204,9
F,0.555,0.388,0.129,0.653,0.292,0.156,0.175,10
F,0.634,0.443,0.138,1.035,0.468,0.268,0.261,9
F,0.522,0.397,0.147,0.654,0.279,0.127,0.227,12
M,0.676,0.504,0.174,1.562,0.759,0.355,0.421,10
M,0.435,0.372,0.096,0.5,0.221,0.099,0.149,15
M,0.487,0.397,0.163,0.814,0.232,0.113,0.362,6
M,0.626,0.485,0.185,1.304,0.646,0.307,0.369,12
I,0.374,0.283,0.098,0.273,0.129,0.062,0.07,8
I,0.425,0.328,0.103,0.314,0.135,0.073,0.101,6
I,0.362,0.28,0.082,0.205,0.076,0.041,0.071,9
M,0.507,0.374,0.127,0.517,0.242,0.106,0.161,6
I,0.572,0.397,0.146,0.749,0.378,0.154,0.227,8
I,0.24,0.179,0.051,0.066,0.022,0.014,0.02,5
F,0.502,0.385,0.131,0.551,0.224,0.112,0.172,8
I,0.463,0.386,0.108,0.399,0.153,0.086,0.145,8
M,0.763,0.56,0.188,2.158,0.997,0.555,0.51,10
I,0.367,0.283,0.109,0.213,0.082,0.052,0.077,7
F,0.592,0.465,0.256,1.243,0.481,0.247,0.456,14
F,0.513,0.393,0.123,0.712,0.298,0.167,0.209,10
M,0.631,0.471,0.16,1.776,0.573,0.286,0.317,10
M,0.556,0.475,0.161,1.476,0.771,0.229,0.3,10
F,0.612,0.487,0.163,1.398,0.701,0.259,0.303,11
M,0.621,0.518,0.2,1.478,0.539,0.326,0.446,19
M,0.477,0.367,0.117,0.586,0.301,0.122,0.139,7
I,0.539,0.371,0.121,0.552,0.239,0.124,0.185,8
I,0.517,0.411,0.133,0.705,0.26,0.177,0.209,9
M,0.599,0.456,0.148,1.094,0.507,0.26,0.273,9
M,0.654,0.539,0.153,1.169,0.517,0.314,0.324,9
F,0.552,0.44,0.154,1.038,0.493,0.179,0.256,9
I,0.558,0.456,0.134,0.703,0.273,0.193,0.273,9
I,0.257,0.184,0.058,0.079,0.042,0.018,0.02,5
M,0.51,0.397,0.135,0.733,0.316,0.128,0.212,10
M,0.577,0.467,0.157,1.206,0.497,0.204,0.344,10
I,0.498,0.376,0.124,0.62,0.282,0.121,0.158,8
M,0.66,0.531,0.161,1.373,0.567,0.382,0.36,11
I,0.57,0.429,0.123,0.706,0.369,0.115,0.217,8
M,0.687,0.551,0.154,1.237,0.57,0.263,0.356,14
M,0.328,0.246,0.089,0.148,0.067,0.034,0.047,6
F,0.442,0.377,0.123,0.506,0.213,0.087,0.177,7
F,0.716,0.539,0.177,1.854,0.893,0.369,0.445,11
F,0.542,0.409,0.133,0.865,0.344,0.232,0.217,13
M,0.575,0.459,0.144,0.864,0.411,0.144,0.236,8
M,0.403,0.292,0.101,0.279,0.124,0.069,0.086,12
F,0.635,0.546,0.194,1.692,0.875,0.375,0.472,11
M,0.453,0.343,0.124,0.39,0.153,0.081,0.107,9
F,0.585,0.461,0.178,0.938,0.333,0.192,0.345,12
I,0.46,0.352,0.128,0.427,0.206,0.084,0.134,6
I,0.369,0.267,0.092,0.248,0.105,0.043,0.077,6
I,0.495,0.372,0.125,0.509,0.246,0.1,0.152,8
M,0.512,0.401,0.114,0.657,0.28,0.14,0.169,9
I,0.313,0.251,0.081,0.163,0.063,0.033,0.049,13
I,0.414,0.351,0.097,0.395,0.161,0.093,0.104,6
I,0.602,0.486,0.133,0.967,0.413,0.189,0.283,10
M,0.423,0.346,0.077,0.373,0.139,0.079,0.126,7
M,0.375,0.275,0.126,0.559,0.311,0.095,0.14,7
I,0.378,0.268,0.096,0.274,0.151,0.05,0.066,5
M,0.727,0.56,0.214,2.276,0.825,0.489,0.479,12
I,0.481,0.361,0.115,0.512,0.232,0.089,0.16,10
I,0.494,0.346,0.1,0.515,0.246,0.125,0.13,7
M,0.426,0.358,0.113,0.377,0.157,0.069,0.119,8
F,0.639,0.528,0.22,1.501,0.714,0.309,0.436,11
M,0.688,0.575,0.182,1.945,0.833,0.404,0.514,10
F,0.572,0.43,0.143,0.884,0.408,0.194,0.224,8
F,0.599,0.474,0.155,1.134,0.499,0.257,0.288,13
I,0.27,0.214,0.072,0.121,0.057,0.031,0.031,4
I,0.468,0.355,0.103,0.435,0.201,0.092,0.122,8
I,0.438,0.316,0.118,0.387,0.184,0.058,0.113,8
M,0.336,0.25,0.074,0.161,0.049,0.035,0.058,9
F,0.65,0.522,0.181,1.426,0.487,0.289,0.406,10
M,0.585,0.459,0.155,0.915,0.476,0.197,0.243,9
F,0.432,0.306,0.124,0.333,0.126,0.075,0.106,8
I,0.395,0.311,0.107,0.255,0.1,0.036,0.087,8
F,0.57,0.479,0.138,0.918,0.363,0.159,0.322,13
F,0.61,0.508,0.11,1.126,0.535,0.19,0.293,9
M,0.713,0.593,0.502,2.306,1.068,0.47,0.504,10
F,0.628,0.52,0.175,1.382,0.631,0.289,0.369,15
M,0.695,0.512,0.149,1.315,0.561,0.354,0.376,11
M,0.557,0.405,0.16,0.721,0.353,0.15,0.222,12
F,0.54,0.45,0.137,0.951,0.429,0.207,0.242,10
M,0.557,0.485,0.172,1.054,0.538,0.17,0.289,9
F,0.693,0.575,0.237,2.093,0.88,0.426,0.593,10
I,0.563,0.48,0.149,1.007,0.441,0.23,0.275,8
I,0.43,0.33,0.104,0.372,0.173,0.062,0.111,11
F,0.565,0.422,0.192,1.34,0.581,0.313,0.409,10
M,0.658,0.515,0.194,1.534,0.723,0.355,0.366,9
I,0.182,0.129,0.045,0.032,0.011,0.007,0.01,4
F,0.577,0.466,0.181,0.88,0.349,0.182,0.263,12
M,0.599,0.513,0.136,1.063,0.544,0.208,0.305,10
F,0.648,0.475,0.159,1.213,0.506,0.328,0.3,9
I,0.471,0.361,0.105,0.471,0.202,0.1,0.127,6
F,0.506,0.415,0.145,0.716,0.27,0.157,0.242,12
M,0.605,0.503,0.15,1.289,0.541,0.362,0.313,11
M,0.655,0.513,0.151,1.3,0.652,0.236,0.376,12
M,0.566,0.46,0.227,1.08,0.389,0.214,0.374,15
F,0.541,0.429,0.13,0.767,0.305,0.146,0.261,16
F,0.431,0.342,0.119,0.472,0.199,0.112,0.142,9
I,0.383,0.27,0.086,0.26,0.111,0.062,0.083,6
I,0.336,0.255,0.087,0.173,0.067,0.038,0.062,6
F,0.655,0.505,0.225,1.538,0.553,0.312,0.405,16
I,0.478,0.401,0.137,0.545,0.199,0.13,0.175,11
M,0.588,0.478,0.177,1.011,0.404,0.175,0.388,16
M,0.68,0.499,0.197,1.599,0.697,0.43,0.479,16
F,0.447,0.392,0.163,0.817,0.254,0.185,0.263,23
I,0.551,0.429,0.161,0.857,0.319,0.161,0.291,17
F,0.617,0.433,0.152,0.869,0.427,0.18,0.271,10
F,0.629,0.495,0.17,1.383,0.65,0.275,0.365,10
I,0.387,0.271,0.098,0.288,0.122,0.061,0.074,7
M,0.575,0.464,0.157,0.946,0.372,0.267,0.342,10
M,0.455,0.344,0.126,0.459,0.226,0.096,0.141,8
M,0.541,0.433,0.162,0.875,0.339,0.189,0.251,17
M,0.584,0.45,0.113,0.936,0.404,0.195,0.284,18
M,0.618,0.503,0.148,1.045,0.491,0.203,0.324,11
I,0.478,0.362,0.115,0.492,0.203,0.124,0.135,9
F,0.357,0.275,0.104,0.227,0.097,0.025,0.082,8
I,0.422,0.337,0.102,0.408,0.18,0.079,0.113,7
M,0.51,0.367,0.145,0.662,0.248,0.154,0.215,11
I,0.317,0.228,0.072,0.13,0.051,0.028,0.038,6
F,0.576,0.425,0.182,1.06,0.463,0.204,0.258,9
I,0.343,0.249,0.088,0.195,0.074,0.052,0.057,7
I,0.308,0.224,0.071,0.116,0.048,0.015,0.041,6
I,0.581,0.472,0.137,0.852,0.363,0.191,0.27,9
I,0.587,0.448,0.15,0.915,0.353,0.2,0.239,6
F,0.397,0.298,0.109,0.327,0.131,0.074,0.096,7
M,0.677,0.553,0.168,1.437,0.579,0.217,0.455,14
I,0.438,0.331,0.108,0.382,0.165,0.09,0.106,6
M,0.472,0.395,0.141,0.681,0.304,0.142,0.207,10
I,0.451,0.347,0.124,0.4,0.177,0.068,0.131,8
I,0.437,0.368,0.095,0.36,0.148,0.076,0.117,8
F,0.628,0.468,0.144,0.946,0.386,0.217,0.244,8
F,0.661,0.547,0.169,1.585,0.613,0.282,0.464,14
F,0.674,0.545,0.215,2.335,0.972,0.476,0.615,10
M,0.654,0.502,0.173,1.465,0.679,0.402,0.345,11
M,0.644,0.477,0.226,0.979,0.43,0.169,0.276,11
F,0.432,0.356,0.171,0.428,0.15,0.079,0.154,12
I,0.436,0.353,0.143,0.462,0.214,0.11,0.127,16
F,0.507,0.373,0.188,0.57,0.24,0.153,0.164,12
M,0.643,0.53,0.182,1.467,0.684,0.302,0.354,14
I,0.507,0.406,0.141,0.576,0.241,0.129,0.181,8
M,0.542,0.404,0.162,0.626,0.267,0.162,0.221,12
F,0.513,0.446,0.134,0.899,0.41,0.174,0.214,10
F,0.458,0.389,0.15,0.593,0.225,0.139,0.233,12
M,0.553,0.402,0.125,0.823,0.418,0.191,0.178,7
M,0.692,0.59,0.177,1.704,0.878,0.346,0.426,9
M,0.583,0.467,0.141,0.83,0.34,0.154,0.242,9
I,0.468,0.374,0.115,0.484,0.217,0.106,0.156,8
I,0.573,0.459,0.144,0.73,0.359,0.163,0.221,8
F,0.573,0.475,0.145,0.994,0.514,0.202,0.245,12
F,0.468,0.357,0.11,0.472,0.203,0.117,0.12,7
F,0.512,0.417,0.125,0.736,0.342,0.135,0.204,9
M,0.616,0.457,0.146,1.248,0.712,0.204,0.239,7
I,0.369,0.279,0.096,0.276,0.173,0.043,0.068,7
M,0.52,0.406,0.137,0.75,0.397,0.139,0.198,8
F,0.57,0.436,0.167,0.926,0.415,0.263,0.267,12
I,0.321,0.209,0.06,0.13,0.061,0.037,0.036,5
F,0.474,0.381,0.131,0.586,0.24,0.122,0.194,13
I,0.229,0.165,0.052,0.052,0.018,0.012,0.018,4
I,0.52,0.386,0.136,0.533,0.239,0.128,0.146,8
F,0.556,0.475,0.127,0.909,0.405,0.212,0.22,8
F,0.581,0.458,0.162,1.096,0.394,0.234,0.428,20
M,0.402,0.3,0.105,0.275,0.101,0.065,0.096,9
M,0.428,0.366,0.125,0.467,0.127,0.083,0.194,9
I,0.586,0.469,0.146,0.959,0.442,0.179,0.274,9
F,0.663,0.536,0.22,1.51,0.646,0.479,0.358,11
F,0.637,0.486,0.176,1.266,0.466,0.393,0.294,11
M,0.523,0.37,0.111,0.642,0.348,0.158,0.145,9
M,0.65,0.5,0.171,1.421,0.58,0.304,0.399,12
M,0.549,0.427,0.127,0.777,0.385,0.178,0.188,8
I,0.439,0.323,0.095,0.361,0.158,0.093,0.096,9
I,0.545,0.451,0.149,0.915,0.49,0.177,0.241,9
I,0.513,0.421,0.111,0.593,0.254,0.119,0.196,9
I,0.421,0.319,0.115,0.318,0.131,0.048,0.091,8
F,0.621,0.511,0.186,1.383,0.542,0.38,0.408,10
M,0.455,0.38,0.121,0.578,0.222,0.128,0.201,13
M,0.571,0.431,0.147,0.906,0.379,0.189,0.24,8
F,0.618,0.55,0.165,1.57,0.694,0.361,0.417,17
M,0.437,0.344,0.105,0.471,0.229,0.088,0.115,7
I,0.576,0.447,0.13,0.768,0.365,0.165,0.22,9
M,0.548,0.388,0.163,0.747,0.289,0.142,0.286,18
F,0.509,0.401,0.12,0.571,0.254,0.11,0.137,6
I,0.457,0.37,0.118,0.45,0.185,0.081,0.144,9
M,0.594,0.489,0.164,1.104,0.5,0.29,0.293,10
M,0.489,0.384,0.107,0.478,0.219,0.112,0.144,8
F,0.56,0.465,0.147,0.716,0.307,0.147,0.279,10
F,0.614,0.475,0.161,1.051,0.477,0.223,0.31,10
M,0.581,0.479,0.134,0.946,0.349,0.184,0.291,13
M,0.571,0.445,0.162,0.888,0.423,0.176,0.251,14
I,0.499,0.382,0.116,0.508,0.229,0.121,0.138,7
M,0.623,0.478,0.187,1.243,0.606,0.283,0.285,8
I,0.339,0.26,0.076,0.217,0.098,0.036,0.068,6
I,0.509,0.341,0.108,0.47,0.205,0.126,0.134,10
M,0.482,0.348,0.123,0.523,0.195,0.112,0.19,9
I,0.346,0.269,0.087,0.21,0.093,0.041,0.063,6
I,0.592,0.456,0.146,0.886,0.406,0.179,0.267,11
M,0.508,0.405,0.16,0.771,0.332,0.157,0.252,12
F,0.654,0.474,0.198,1.427,0.59,0.276,0.366,11
I,0.494,0.371,0.129,0.528,0.208,0.103,0.181,9
M,0.688,0.493,0.154,1.239,0.606,0.274,0.293,8
M,0.491,0.367,0.124,0.611,0.321,0.093,0.181,8
I,0.534,0.43,0.157,0.78,0.384,0.178,0.238,14
M,0.463,0.34,0.135,0.472,0.178,0.117,0.155,11
I,0.47,0.333,0.105,0.438,0.205,0.086,0.123,9
I,0.321,0.239,0.087,0.157,0.067,0.026,0.044,5
F,0.442,0.326,0.126,0.409,0.158,0.093,0.136,7
M,0.337,0.254,0.072,0.164,0.061,0.036,0.059,8
M,0.655,0.485,0.146,1.199,0.469,0.252,0.218,8
M,0.616,0.508,0.18,1.206,0.545,0.295,0.344,12
F,0.294,0.221,0.075,0.143,0.053,0.025,0.039,5
F,0.512,0.419,0.119,0.765,0.406,0.165,0.184,7
F,0.655,0.534,0.186,1.537,0.639,0.406,0.417,11
M,0.401,0.316,0.089,0.316,0.129,0.075,0.114,8
F,0.548,0.43,0.134,0.82,0.438,0.178,0.182,9
I,0.438,0.334,0.102,0.367,0.15,0.086,0.108,7
M,0.467,0.364,0.109,0.417,0.167,0.101,0.146,11
M,0.202,0.148,0.047,0.041,0.017,0.005,0.016,7
F,0.579,0.48,0.165,1.099,0.487,0.26,0.305,12
M,0.67,0.525,0.179,1.31,0.766,0.184,0.381,12
I,0.45,0.352,0.14,0.508,0.268,0.097,0.107,7
I,0.502,0.383,0.12,0.533,0.215,0.126,0.163,8
M,0.609,0.457,0.177,1.115,0.399,0.235,0.366,17
M,0.205,0.145,0.052,0.033,0.01,0.008,0.012,4
M,0.539,0.474,0.165,0.892,0.408,0.177,0.237,11
M,0.779,0.55,0.188,1.748,0.712,0.37,0.586,14
M,0.641,0.515,0.172,1.173,0.507,0.305,0.338,10
F,0.631,0.432,0.144,0.902,0.427,0.193,0.216,8
F,0.523,0.432,0.154,0.705,0.268,0.187,0.222,14
M,0.348,0.27,0.088,0.186,0.078,0.049,0.057,6
M,0.345,0.244,0.099,0.22,0.077,0.035,0.067,9
M,0.597,0.404,0.143,0.982,0.446,0.192,0.265,8
F,0.63,0.483,0.161,1.113,0.57,0.233,0.309,9
I,0.488,0.381,0.123,0.617,0.353,0.111,0.163,8
F,0.538,0.431,0.124,0.803,0.316,0.176,0.258,13
I,0.316,0.247,0.071,0.167,0.077,0.026,0.047,6
F,0.457,0.39,0.121,0.462,0.191,0.111,0.121,10
I,0.432,0.312,0.115,0.371,0.177,0.09,0.096,5
F,0.681,0.497,0.179,1.459,0.634,0.272,0.434,13
M,0.617,0.499,0.155,1.146,0.376,0.247,0.388,20
M,0.656,0.539,0.179,1.628,0.786,0.38,0.442,8
M,0.596,0.428,0.157,0.878,0.394,0.217,0.214,9
M,0.423,0.359,0.147,0.467,0.213,0.099,0.109,15
I,0.32,0.199,0.077,0.099,0.039,0.022,0.033,8
M,0.709,0.523,0.179,1.584,0.755,0.344,0.36,11
M,0.61,0.469,0.176,1.154,0.442,0.34,0.294,11
I,0.604,0.491,0.159,1.136,0.544,0.269,0.327,11
M,0.455,0.379,0.121,0.562,0.277,0.09,0.175,8
M,0.609,0.44,0.155,0.971,0.364,0.25,0.265,10
F,0.541,0.437,0.119,0.735,0.335,0.219,0.244,9
M,0.727,0.526,0.195,1.681,0.83,0.376,0.477,11
I,0.463,0.358,0.115,0.451,0.223,0.097,0.111,7
M,0.543,0.42,0.179,1.285,0.571,0.34,0.349,13
M,0.671,0.515,0.181,1.532,0.669,0.305,0.405,10
I,0.361,0.281,0.1,0.238,0.114,0.043,0.067,6
F,0.511,0.421,0.155,0.737,0.283,0.158,0.215,10
I,0.264,0.184,0.059,0.098,0.046,0.016,0.03,5
F,0.289,0.212,0.074,0.271,0.115,0.071,0.034,6
M,0.691,0.525,0.17,1.846,0.838,0.359,0.489,10
F,0.436,0.365,0.099,0.447,0.175,0.077,0.181,7
M,0.633,0.466,0.16,0.982,0.455,0.233,0.274,9
F,0.469,0.341,0.121,0.431,0.18,0.091,0.152,11
M,0.542,0.446,0.17,0.749,0.266,0.162,0.276,13
F,0.71,0.558,0.192,1.599,0.667,0.319,0.457,11
F,0.637,0.532,0.171,1.179,0.503,0.23,0.308,14
F,0.664,0.503,0.178,1.546,0.564,0.301,0.437,11
I,0.626,0.485,0.17,1.202,0.458,0.311,0.318,14
I,0.603,0.478,0.152,0.824,0.348,0.17,0.298,10
M,0.473,0.364,0.121,0.463,0.207,0.107,0.154,10
M,0.647,0.507,0.147,1.138,0.517,0.223,0.325,10
F,0.643,0.536,0.2,1.519,0.674,0.314,0.449,11
M,0.654,0.561,0.184,1.736,0.705,0.363,0.502,11
I,0.473,0.36,0.143,0.635,0.271,0.142,0.191,8
I,0.559,0.433,0.142,0.983,0.412,0.215,0.261,16
M,0.578,0.489,0.183,1.171,0.517,0.273,0.301,10
M,0.674,0.466,0.167,1.334,0.637,0.29,0.355,10
F,0.62,0.481,0.175,1.433,0.574,0.339,0.294,12
I,0.451,0.321,0.089,0.443,0.222,0.091,0.096,7
F,0.5,0.391,0.126,0.636,0.296,0.123,0.18,8
M,0.579,0.455,0.162,1.186,0.489,0.245,0.308,8
F,0.591,0.469,0.171,1.26,0.547,0.305,0.36,11
I,0.503,0.377,0.14,0.577,0.244,0.115,0.163,7
F,0.554,0.457,0.181,1.014,0.456,0.232,0.274,9
I,0.357,0.284,0.09,0.269,0.104,0.06,0.071,7
F,0.691,0.521,0.193,1.675,0.77,0.335,0.475,11
F,0.491,0.381,0.15,0.608,0.194,0.157,0.218,10
F,0.568,0.491,0.169,0.935,0.354,0.191,0.292,10
F,0.509,0.392,0.124,0.597,0.242,0.134,0.175,7
I,0.254,0.198,0.058,0.078,0.033,0.014,0.022,4
M,0.674,0.529,0.167,1.208,0.485,0.288,0.366,11
I,0.473,0.361,0.124,0.494,0.178,0.105,0.17,9
M,0.627,0.531,0.19,1.35,0.591,0.273,0.397,9
M,0.429,0.329,0.117,0.394,0.154,0.09,0.131,10
M,0.571,0.448,0.15,0.958,0.331,0.189,0.305,11
I,0.474,0.343,0.114,0.464,0.226,0.071,0.114,8
F,0.607,0.517,0.154,1.345,0.579,0.329,0.358,10
I,0.421,0.315,0.093,0.286,0.128,0.053,0.09,6
F,0.576,0.471,0.165,1.107,0.52,0.224,0.283,13
I,0.386,0.328,0.105,0.338,0.153,0.079,0.102,9
M,0.599,0.468,0.12,1.078,0.407,0.292,0.319,14
I,0.297,0.218,0.082,0.133,0.056,0.028,0.037,5
F,0.607,0.474,0.165,1.115,0.476,0.215,0.322,9
F,0.642,0.518,0.187,1.496,0.653,0.345,0.424,18
F,0.504,0.396,0.118,0.659,0.3,0.159,0.177,8
F,0.568,0.444,0.158,0.813,0.352,0.189,0.221,9
M,0.518,0.409,0.121,0.911,0.354,0.247,0.265,13
I,0.461,0.355,0.101,0.471,0.204,0.094,0.122,7
M,0.45,0.336,0.122,0.387,0.206,0.09,0.104,7
F,0.647,0.517,0.177,1.399,0.537,0.317,0.366,10
I,0.472,0.352,0.118,0.477,0.22,0.094,0.115,7
M,0.529,0.403,0.136,0.867,0.311,0.148,0.325,18
M,0.617,0.48,0.175,1.278,0.632,0.277,0.33,10
I,0.538,0.405,0.14,0.731,0.326,0.146,0.26,9
M,0.656,0.478,0.149,1.229,0.569,0.252,0.302,9
M,0.603,0.5,0.168,1.064,0.447,0.269,0.304,9
M,0.615,0.453,0.165,0.968,0.438,0.214,0.305,9
F,0.39,0.289,0.119,0.302,0.122,0.081,0.086,7
I,0.518,0.406,0.131,0.6,0.245,0.152,0.189,8
I,0.449,0.372,0.127,0.462,0.181,0.083,0.155,11
F,0.684,0.472,0.168,1.302,0.562,0.302,0.357,11
M,0.689,0.531,0.212,1.421,0.662,0.327,0.453,11
I,0.602,0.483,0.162,1.015,0.394,0.271,0.268,13
M,0.285,0.215,0.099,0.117,0.054,0.03,0.03,5
M,0.395,0.275,0.096,0.222,0.084,0.051,0.073,6
F,0.654,0.552,0.182,1.574,0.617,0.313,0.499,10
I,0.656,0.474,0.133,1.128,0.468,0.261,0.291,10
I,0.454,0.388,0.107,0.426,0.16,0.089,0.138,10
F,0.573,0.466,0.166,1.0,0.334,0.232,0.367,12
F,0.518,0.367,0.131,0.673,0.387,0.119,0.157,8
M,0.683,0.542,0.184,1.554,0.638,0.311,0.523,9
